ID1,CASEID,QCOL93,Q1035NO,Q1036N,Q1037M,Q1037P,Q1037O,Q1040A,Q1040B,Q1040C,Q1040D,Q1040E,Q1040F,Q1040G,Q1040H,Q1040I,Q1040X
2021,      000100301  2,1,1,AB,K,K, , , , , , , , , , , 
2021,      000100401  1,1,6,A,K, , ,2, , , , , , , , , 
2021,      000104201  2,1,1,AB,B,B, , , , , , , , , , , 
2021,      000107001  1,1,2,A,G, , , , , , , , , , , , 
2021,      000203901  1,1,2,A,C, , , , , , , , , , , , 
2021,      000205401  4,1,1,A,B, , , , , , , , , , , , 
2021,      000206201  5,1,1,A,BC, , ,2, ,2, , , , , , , 
2021,      000207301  2,1,2,B, ,BC, , , , , , , , , , , 
2021,      000207901  2,1,2,A,AB, , ,2, , , , , , , , , 
2021,      000300301  1,1,1,AB,BCE,BCE, ,2, , , , , , , , , 
2021,      000310101  1,1,2,A,BC, , , , , , , , , , , , 
2021,      000310201  1,1,1,AB,ABK,AK, , , , , , , , , , , 
2021,      000403601  2,1,1,AB,K,K, ,2, , , , , , , , , 
2021,      000404801  2,1,2,AB,CK,CK, , , , , , , , , , , 
2021,      000408401  2,1,1,AB,CK,CK, , , , , , , , , , , 
2021,      000500101  3,1,2,Y, , , , , , , , , , , , , 
2021,      000500301  2,1,3,A,AB, , , , , , , , , , , , 
2021,      000504601  1,1,2,A,ABC, , ,2, , , , , , , , , 
2021,      000506601  2,1,2,A,AB, , , , , , , , , , , , 
2021,      000509701  2,1,2,AB,B,B, ,2, , , , , , , , , 
2021,      000612201  1,1,2,ABC,BCK,BCK,BCK, , , , , , , , , , 
2021,      000613001  3,1,1,A,ABCK, , , , , , , , , , , , 
2021,      000622801  2,1,1,AB,BCK,BCK, ,1, ,2, , , , , , , 
2021,      000700301  1,1,1,A,BCK, , , , , , , , , , , , 
2021,      000704601  2,1,1,A,C, , , , , , , , , , , , 
2021,      000706601  2,1,1,AB,GK,BK, , , , , , , , , , , 
2021,      000707201  1,1,6,A,CK, , ,2,2,2,2,2, , ,2,2, 
2021,      000708601  4,1,1,A,K, , , , , , , , , , , , 
2021,      000805801  2,1,1,Y, , , , , , , , , , , , , 
2021,      000812301  2,1,4,AB,AB,AB, , , , , , , , , , , 
2021,      000812301  2,2,3,AB,AB,AB, , , , , , , , , , , 
2021,      000816201  2,1,4,AB,B,B, , , ,2,2, , , , , , 
2021,      000816201  2,2,3,AB,B,B, , , ,2,2, , , , , , 
2021,      000900201  3,1,3,AB,B,B, , , , , , , , , , , 
2021,      000901101  2,1,1,AB,K,K, , , , , , , , , , , 
2021,      000903001  2,1,2,AB,AK,K, , ,2, , , , , , , , 
2021,      000908601  1,1,3,A,C, , ,1,1,1,1, , , , , , 
2021,      001003401  2,1,2,AB,AB,AB, , , , , , , , , , , 
2021,      001004301  2,1,5,ABD,EK,EK,K, , , , , , , , , , 
2021,      001006001  2,1,2,Y, , , , , , , , , , , , , 
2021,      001100301  2,1,3,AB,BC,BC, , , , , , , , , , , 
