ID1,HHID,QHCLUSTER,QHNUMBER,QHHOME,QH91,QH93,QH95,QH96,QH96A,QH96M,QH96AC,QH97D,QH97M,QH97A,QH99,QH101,QH103,QH106,QHVIOLEN
2021,      000100301,1,3,1,2,2,2, , , , , , , , ,2,2,2,2
2021,      000100401,1,4,1,2,2,2, , , , , , , , ,1,2,2,1
2021,      000100801,1,8,1,2,2,2, , , , , , , , ,2,2,2,4
2021,      000101001,1,10,1, ,2,2, , , , , , , , ,2,2, ,4
2021,      000104201,1,42,1, ,2,2, , , , , , , , ,2,2,2,2
2021,      000106201,1,62,1, ,2,2, , , , , , , , ,2,2, ,2
2021,      000107001,1,70,1, ,2,2, , , , , , , , ,2,2,2,1
2021,      000203901,2,39,1, ,2,2, , , , , , , , ,2,2, ,1
2021,      000205401,2,54,1,2,2,2, , , , , , , , ,2,2,2,4
2021,      000205601,2,56,1, ,2,2, , , , , , , , ,2,2, ,2
2021,      000205901,2,59,1,2,2,2, , , , , , , , ,2,2, ,0
2021,      000206201,2,62,1, ,2,2, , , , , , , ,2,2,2, ,5
2021,      000207201,2,72,1, ,2,2, , , , , , , ,2,2,2, ,0
2021,      000207301,2,73,1, ,2,2, , , , , , , , ,2,2, ,2
2021,      000207901,2,79,1, ,2,2, , , , , , , , ,2,2,2,2
2021,      000300301,3,3,1,2,2,2, , , , , , , , ,2,2,2,1
2021,      000300601,3,6,1,2,2,2, , , , , , , ,2,2,2, ,2
2021,      000300801,3,8,1,2,2,2, , , , , , , , ,2,2,2,6
2021,      000304701,3,47,1,2,2,2, , , , , , , , ,1,2,2,2
2021,      000307101,3,71,1, ,2,2, , , , , , , , ,1,2, ,0
2021,      000310101,3,101,1, ,2,1,1,4,2,2, , , , ,2,2,2,1
2021,      000310201,3,102,1, ,2,2, , , , , , , , ,2,2, ,1
2021,      000401801,4,18,1,2,2,2, , , , , , , , ,2,2,2,2
2021,      000403501,4,35,1, ,2,2, , , , , , , , ,2,2, ,0
2021,      000403601,4,36,1,2,2,2, , , , , , , , ,2,2,2,2
2021,      000403701,4,37,1,2,2,2, , , , , , , , ,2,2, ,4
2021,      000404801,4,48,1,2,2,2, , , , , , , , ,2,2,2,2
2021,      000405401,4,54,1, ,2,2, , , , , , , ,2,2,2, ,0
2021,      000408401,4,84,1, ,2,2, , , , , , , , ,2,2,2,2
2021,      000500101,5,1,1, ,2,2, , , , , , , ,2,2,2,2,3
2021,      000500301,5,3,1, ,2,2, , , , , , , , ,2,2,2,2
2021,      000503501,5,35,1,2,2,2, , , , , , , , ,2,2, ,0
2021,      000504601,5,46,1, ,2,2, , , , , , , , ,2,2,2,1
2021,      000506601,5,66,1, ,8,2, , , , , , , , ,2,2, ,2
2021,      000507301,5,73,1, ,2,2, , , , , , , , ,2,2, ,0
2021,      000508001,5,80,1, ,2,2, , , , , , , , ,2,2, ,2
2021,      000509201,5,92,1, ,2,2, , , , , , , ,2,2,2,2,4
2021,      000509701,5,97,1, ,2,2, , , , , , , , ,2,2, ,2
2021,      000513201,5,132,1,2,2,2, , , , , , , , ,2,2, ,2
2021,      000604001,6,40,1, ,2,2, , , , , , , , ,2,2, ,0
2021,      000609301,6,93,1,2,2,2, , , , , , , , ,2,2, ,1
2021,      000611001,6,110,1,2,2,2, , , , , , , , ,2,2,2,2
2021,      000611601,6,116,1,2,2,2, , , , , , , , ,2,2,2,1
2021,      000611701,6,117,1,2,2,2, , , , , , , , ,2,2, ,0
2021,      000612201,6,122,1, ,2,2, , , , , , , , ,2,2,2,1
2021,      000612901,6,129,1,2,2,2, , , , , , , ,1,1,2, ,0
2021,      000613001,6,130,1,2,2,2, , , , , , , , ,1,2,2,3
2021,      000622801,6,228,1, ,2,2, , , , , , , , ,2,2,2,2
2021,      000700301,7,3,1, ,2,2, , , , , , , , ,2,2,2,1
2021,      000701801,7,18,1,2,2,1,2,3,1,2, , , , ,1,2, ,6
2021,      000702201,7,22,1, ,2,1,2,3,0,2, , , , ,2,2,2,2
2021,      000704601,7,46,1, ,2,2, , , , , , , , ,2,2, ,2
2021,      000706601,7,66,1, ,2,2, , , , , , , , ,2,2,2,2
2021,      000707201,7,72,1, ,2,2, , , , , , , , ,1,2,2,1
2021,      000708601,7,86,1,2,2,2, , , , , , , , ,1,2,2,4
2021,      000708701,7,87,1,2,2,2, , , , , , , , ,2,2, ,1
2021,      000709801,7,98,1,2,2,2, , , , , , , , ,2,2, ,5
2021,      000710101,7,101,1,2,2,2, , , , , , , , ,2,2, ,1
