ID1,HHID,HVIDX,QHCLUSTER,QHNUMBER,QHHOME,PS104_1A,PS104_1M,PS104_1S,PS5
2021,      001100301,2,11,3,1,5,0,2,1
2021,      001206101,2,12,61,1,5,0,2,1
2021,      001212201,2,12,122,1,0,1,2,1
2021,      002109801,2,21,98,1,10,0,2,1
2021,      002403501,2,24,35,1,1,0,2,1
2021,      004214201,1,42,142,1,8,0,2,1
2021,      004400301,3,44,3,1,3,3,2,1
2021,      004505301,2,45,53,1,1,0,2,1
2021,      004506201,2,45,62,1,3,0,2,1
2021,      004804502,2,48,45,2,1,1,2,1
2021,      005600801,2,56,8,1,19,5,2,1
2021,      005600901,1,56,9,1,0,1,2,1
2021,      005601101,1,56,11,1,5,0,2,1
2021,      005906601,2,59,66,1,10,0,2,1
2021,      009506701,1,95,67,1,13,0,2,1
2021,      010006701,2,100,67,1,1,0,2,1
2021,      010301501,2,103,15,1,4,0,2,1
2021,      010301601,2,103,16,1,0,6,2,1
2021,      010301801,1,103,18,1,10,0,2,1
2021,      010310801,1,103,108,1,19,0,2,1
2021,      010311201,1,103,112,1,1,0,2,1
2021,      010501001,1,105,10,1,8,0,2,1
2021,      010903701,2,109,37,1,10,0,2,1
2021,      010903801,1,109,38,1,8,0,2,1
2021,      010904101,1,109,41,1,3,0,2,1
2021,      010905901,2,109,59,1,12,0,2,1
2021,      011300401,2,113,4,1,15,3,2,1
2021,      011303401,2,113,34,1,0,1,2,1
2021,      013307101,2,133,71,1,1,0,2,1
2021,      013505201,2,135,52,1,0,1,2,1
2021,      013803601,2,138,36,1,1,0,2,1
2021,      013803801,2,138,38,1,5,0,2,1
2021,      013805201,2,138,52,1,4,0,2,1
2021,      013811901,1,138,119,1,3,6,2,1
2021,      013812001,1,138,120,1,18,0,2,1
2021,      015401801,2,154,18,1,0,7,2,1
2021,      015410301,1,154,103,1,2,0,2,1
2021,      015500901,2,155,9,1,10,0,2,1
2021,      015602201,1,156,22,1,1,0,2,1
2021,      015706401,2,157,64,1,1,0,2,1
2021,      015712701,5,157,127,1,4,0,2,1
2021,      015713001,2,157,130,1,0,3,2,1
2021,      015713201,2,157,132,1,3,0,2,1
2021,      016001801,2,160,18,1,10,98,2,1
2021,      016603801,2,166,38,1,10,3,2,1
2021,      016703701,2,167,37,1,2,0,2,1
2021,      016708501,2,167,85,1,2,0,2,1
2021,      020902101,3,209,21,1,1,0,2,1
2021,      021001501,1,210,15,1,3,0,2,1
2021,      023815001,1,238,150,1,1,5,2,1
2021,      024607701,2,246,77,1,1,0,2,1
2021,      025502401,2,255,24,1,2,0,2,1
2021,      026601201,3,266,12,1,3,0,2,1
2021,      026604601,4,266,46,1,1,0,2,1
2021,      027601301,2,276,13,1,8,0,2,1
2021,      027601401,2,276,14,1,4,0,2,1
2021,      027601501,1,276,15,1,0,4,2,1
2021,      027614101,2,276,141,1,0,6,2,1
2021,      027909701,2,279,97,1,3,0,2,1
2021,      028205101,1,282,51,1,4,2,1,1
2021,      028205101,2,282,51,1,4,2,2,2
2021,      028205501,2,282,55,1,5,0,2,1
2021,      028305301,1,283,53,1,18,0,2,1
2021,      028305601,2,283,56,1,10,0,2,1
2021,      028305701,2,283,57,1,5,0,2,1
2021,      028500401,2,285,4,1,0,6,2,1
2021,      028705401,2,287,54,1,3,0,2,1
2021,      028803301,1,288,33,1,15,0,2,1
2021,      028803701,2,288,37,1,10,0,2,1
2021,      028805001,1,288,50,1,0,8,2,1
2021,      028900601,2,289,6,1,5,0,2,1
2021,      028900701,2,289,7,1,19,0,2,1
2021,      028900901,1,289,9,1,1,0,2,1
2021,      028903201,2,289,32,1,1,0,2,1
2021,      028903401,2,289,34,1,2,0,2,1
2021,      028903501,2,289,35,1,3,0,2,1
2021,      028904501,2,289,45,1,2,0,2,1
2021,      028904601,2,289,46,1,3,0,2,1
2021,      028904701,2,289,47,1,2,0,2,1
2021,      028904801,2,289,48,1,2,0,2,1
2021,      028904901,2,289,49,1,2,0,1,1
2021,      028904901,6,289,49,1,3,0,2,2
2021,      029102701,2,291,27,1,3,0,2,1
2021,      029103101,2,291,31,1,10,0,2,1
2021,      029103901,1,291,39,1,1,0,2,1
2021,      029200901,2,292,9,1,5,0,2,1
2021,      029201101,1,292,11,1,4,0,2,1
2021,      029201901,1,292,19,1,5,0,2,1
2021,      029202601,1,292,26,1,10,0,2,1
2021,      029203701,2,292,37,1,1,0,2,1
2021,      029203801,1,292,38,1,4,0,2,1
2021,      029206401,2,292,64,1,3,0,2,1
2021,      029500801,1,295,8,1,2,0,2,1
2021,      029500901,2,295,9,1,1,0,2,1
2021,      031708901,1,317,89,1,0,1,2,1
2021,      031709801,1,317,98,1,0,7,1,1
2021,      031709801,2,317,98,1,0,7,1,2
2021,      031709801,3,317,98,1,0,7,1,3
2021,      031709801,4,317,98,1,0,7,1,4
2021,      031709801,5,317,98,1,0,7,1,5
2021,      031709801,6,317,98,1,0,7,1,6
2021,      031709801,7,317,98,1,0,7,1,7
2021,      031709801,8,317,98,1,0,7,2,8
2021,      031802701,2,318,27,1,0,4,2,1
2021,      031802901,2,318,29,1,2,0,2,1
2021,      031811401,2,318,114,1,0,5,2,1
2021,      032413801,1,324,138,1,6,0,2,1
2021,      032413901,2,324,139,1,19,0,2,1
2021,      032801601,1,328,16,1,19,6,2,1
2021,      032801801,2,328,18,1,5,11,2,1
2021,      032801901,1,328,19,1,10,2,2,1
2021,      032802001,2,328,20,1,1,0,2,1
2021,      032802101,1,328,21,1,19,11,2,1
2021,      032802201,1,328,22,1,3,2,2,1
2021,      032802301,2,328,23,1,11,98,2,1
2021,      032802401,10,328,24,1,1,0,2,1
2021,      033304601,2,333,46,1,10,0,2,1
2021,      033304901,1,333,49,1,1,4,2,1
2021,      033305001,2,333,50,1,10,0,2,1
2021,      033706901,2,337,69,1,12,98,2,1
2021,      033707001,2,337,70,1,8,0,2,1
2021,      033707201,2,337,72,1,19,0,2,1
2021,      033708901,2,337,89,1,19,0,2,1
2021,      033709101,2,337,91,1,19,0,2,1
2021,      033709201,2,337,92,1,19,98,2,1
2021,      033709301,3,337,93,1,4,6,2,1
2021,      033710701,1,337,107,1,5,6,2,1
2021,      033710801,5,337,108,1,12,0,2,1
2021,      033710901,2,337,109,1,10,5,2,1
2021,      033711001,6,337,110,1,6,0,2,1
2021,      034009301,2,340,93,1,0,6,2,1
2021,      034009501,4,340,95,1,0,9,2,1
2021,      035003301,5,350,33,1,1,0,2,1
2021,      035003901,2,350,39,1,1,0,2,1
2021,      035204501,2,352,45,1,4,5,2,1
2021,      037008401,2,370,84,1,3,10,2,1
2021,      037014301,1,370,143,1,1,3,2,1
2021,      037609002,2,376,90,2,0,6,2,1
2021,      037700101,1,377,1,1,0,2,2,1
2021,      037706401,1,377,64,1,3,0,2,1
2021,      037710701,1,377,107,1,1,6,1,1
2021,      037710701,2,377,107,1,1,6,1,2
2021,      037710701,3,377,107,1,1,6,1,3
2021,      037710701,5,377,107,1,1,6,2,4
2021,      037808101,2,378,81,1,1,5,2,1
2021,      038103001,2,381,30,1,1,1,2,1
2021,      038610601,1,386,106,1,17,10,2,1
2021,      040112301,1,401,123,1,18,0,2,1
2021,      040902201,1,409,22,1,11,3,2,1
2021,      043201301,2,432,13,1,3,2,2,1
