ID1,HHID,HVIDX,QHCLUSTER,QHNUMBER,QHHOME,PS100_1A,PS100_1M,PS100_1S,PS3
2021,      000612901,4,6,129,1,5,0,2,1
2021,      000902701,2,9,27,1,1,0,2,1
2021,      000911601,1,9,116,1,2,0,1,1
2021,      000911601,2,9,116,1,1,0,2,2
2021,      001003101,1,10,31,1,3,0,2,1
2021,      001209901,1,12,99,1,4,0,2,1
2021,      001704201,3,17,42,1,8,2,2,1
2021,      001912401,3,19,124,1,3,0,2,1
2021,      002109801,1,21,98,1,2,6,2,1
2021,      002202501,7,22,25,1,3,1,2,1
2021,      002403201,1,24,32,1,5,0,2,1
2021,      003001301,1,30,13,1,3,6,2,1
2021,      003105501,1,31,55,1,3,6,2,1
2021,      003207901,1,32,79,1,8,0,2,1
2021,      003405401,1,34,54,1,1,0,2,1
2021,      003517001,1,35,170,1,1,0,2,1
2021,      003600701,1,36,7,1,2,0,2,1
2021,      003703501,1,37,35,1,5,0,2,1
2021,      003703901,1,37,39,1,3,2,2,1
2021,      003808701,1,38,87,1,2,0,2,1
2021,      003808901,1,38,89,1,2,0,2,1
2021,      004201201,5,42,12,1,1,1,2,1
2021,      004400301,1,44,3,1,7,1,2,1
2021,      004403801,5,44,38,1,0,2,2,1
2021,      004505301,5,45,53,1,0,6,2,1
2021,      004506601,5,45,66,1,3,0,2,1
2021,      004705401,1,47,54,1,1,1,2,1
2021,      004802501,2,48,25,1,5,0,2,1
2021,      004805001,2,48,50,1,5,0,2,1
2021,      004901001,1,49,10,1,3,0,2,1
2021,      004905201,11,49,52,1,7,2,2,1
2021,      004906001,1,49,60,1,5,3,2,1
2021,      005101401,1,51,14,1,98,98,2,1
2021,      005200901,1,52,9,1,7,3,1,1
2021,      005200901,2,52,9,1,8,3,2,2
2021,      005402301,5,54,23,1,4,0,2,1
2021,      005404701,1,54,47,1,3,2,2,1
2021,      005500601,1,55,6,1,1,1,2,1
2021,      005500901,1,55,9,1,1,4,2,1
