ID1,HHID,HVIDX,QHCLUSTER,QHNUMBER,QHHOME,PS109_1R,PS109_1A,PS109_1M,PS109_1S,PS7
2021,      000203901,2,2,39,1,1,6,3,1,1
2021,      000203901,3,2,39,1,1,2,3,2,2
2021,      000205401,3,2,54,1,1,5,3,2,1
2021,      000205601,4,2,56,1,1,0,2,2,1
2021,      000206201,6,2,62,1,1,1,3,2,1
2021,      000207201,5,2,72,1,1,1,4,2,1
2021,      000207901,3,2,79,1,1,0,3,2,1
2021,      000300801,3,3,8,1,1,1,1,1,1
2021,      000300801,5,3,8,1,1,3,1,2,2
2021,      000307101,3,3,71,1,1,4,2,1,1
2021,      000307101,4,3,71,1,1,3,1,2,2
2021,      000310101,2,3,101,1,1,4,0,2,1
2021,      000310201,3,3,102,1,1,1,3,2,1
2021,      000500301,3,5,3,1,1,3,3,1,1
2021,      000500301,4,5,3,1,1,0,3,1,2
2021,      000500301,6,5,3,1,1,8,3,2,3
2021,      000504601,2,5,46,1,1,3,3,2,1
2021,      000509201,6,5,92,1,1,1,3,2,1
2021,      000509701,3,5,97,1,1,4,0,1,1
2021,      000509701,4,5,97,1,2, , ,2,2
2021,      000604001,4,6,40,1,1,4,0,2,1
2021,      000611001,4,6,110,1,1,0,1,2,1
2021,      000612201,3,6,122,1,1,5,1,2,1
2021,      000702201,4,7,22,1,1,2,0,2,1
2021,      000704601,3,7,46,1,1,1,0,2,1
2021,      000709801,3,7,98,1,1,5,1,1,1
2021,      000709801,4,7,98,1,1,2,1,1,2
2021,      000709801,6,7,98,1,1,2,0,2,3
2021,      000804901,3,8,49,1,1,8,3,1,1
2021,      000804901,4,8,49,1,1,6,3,1,2
2021,      000804901,5,8,49,1,1,3,3,2,3
2021,      000812301,5,8,123,1,1,1,4,2,1
2021,      000816201,3,8,162,1,1,7,3,1,1
2021,      000816201,4,8,162,1,1,4,3,2,2
2021,      001100301,3,11,3,1,1,2,2,2,1
2021,      001102301,5,11,23,1,1,1,2,2,1
2021,      001104301,3,11,43,1,1,0,2,2,1
2021,      001105801,3,11,58,1,1,5,2,1,1
2021,      001105801,4,11,58,1,1,2,2,1,2
2021,      001105801,5,11,58,1,1,2,2,1,3
2021,      001105801,6,11,58,1,1,0,2,2,4
2021,      001108501,3,11,85,1,1,2,1,1,1
2021,      001108501,4,11,85,1,1,0,1,2,2
2021,      001109301,4,11,93,1,2, , ,2,1
2021,      001202501,4,12,25,1,1,3,0,2,1
2021,      001206101,4,12,61,1,1,0,1,1,1
2021,      001206101,9,12,61,1,8, , ,2,2
2021,      001206401,3,12,64,1,2, , ,1,1
2021,      001206401,4,12,64,1,1,0,1,2,2
2021,      001207101,4,12,71,1,2, , ,2,1
2021,      001209801,4,12,98,1,1,0,1,1,1
2021,      001209801,5,12,98,1,1,0,1,2,2
2021,      001210501,5,12,105,1,2, , ,2,1
2021,      001211501,3,12,115,1,1,1,1,2,1
2021,      001401901,4,14,19,1,1,5,2,1,1
2021,      001401901,5,14,19,1,1,3,2,2,2
2021,      001402901,2,14,29,1,2, , ,1,1
2021,      001402901,3,14,29,1,2, , ,1,2
2021,      001402901,4,14,29,1,2, , ,2,3
2021,      001405901,3,14,59,1,1,0,3,2,1
2021,      001406501,8,14,65,1,1,2,2,2,1
2021,      001500601,4,15,6,1,1,6,3,1,1
2021,      001500601,6,15,6,1,1,1,3,2,2
2021,      001501301,3,15,13,1,1,0,2,2,1
2021,      001509801,3,15,98,1,1,0,2,1,1
2021,      001509801,4,15,98,1,1,5,2,2,2
2021,      001600201,3,16,2,1,1,4,2,2,1
2021,      001601401,6,16,14,1,1,1,3,2,1
2021,      001602401,2,16,24,1,1,1,2,2,1
2021,      001602901,2,16,29,1,1,4,2,2,1
2021,      001603601,4,16,36,1,1,5,3,1,1
2021,      001603601,5,16,36,1,1,1,3,2,2
2021,      001606001,3,16,60,1,1,3,3,2,1
2021,      001608101,2,16,81,1,1,5,2,2,1
2021,      001705101,4,17,51,1,1,0,1,2,1
2021,      001710801,3,17,108,1,1,0,1,1,1
2021,      001710801,4,17,108,1,1,0,1,2,2
2021,      001714101,3,17,141,1,1,6,1,2,1
2021,      001715101,3,17,151,1,1,2,1,1,1
2021,      001715101,6,17,151,1,1,6,1,2,2
2021,      001902001,7,19,20,1,1,6,1,1,1
2021,      001902001,8,19,20,1,1,2,1,1,2
2021,      001902001,9,19,20,1,1,1,1,2,3
2021,      001909001,2,19,90,1,1,5,1,2,1
2021,      001910001,5,19,100,1,2, , ,2,1
2021,      001910301,3,19,103,1,1,1,1,2,1
2021,      001912401,5,19,124,1,1,3,1,1,1
2021,      001912401,6,19,124,1,1,7,1,2,2
2021,      002000601,3,20,6,1,1,3,3,1,1
2021,      002000601,4,20,6,1,1,1,3,2,2
2021,      002003301,4,20,33,1,1,7,1,2,1
2021,      002003801,6,20,38,1,1,2,2,1,1
2021,      002003801,7,20,38,1,1,3,1,1,2
2021,      002003801,8,20,38,1,1,2,1,2,3
