ID1,HHID,HVIDX,QHCLUSTER,QHNUMBER,QHHOME,PS102_1A,PS102_1M,PS102_1S,PS4
2021,      000100401,4,1,4,1,5,0,2,1
2021,      000304701,4,3,47,1,0,6,2,1
2021,      000307101,4,3,71,1,5,1,2,1
2021,      000612901,4,6,129,1,5,0,2,1
2021,      000613001,4,6,130,1,0,7,2,1
2021,      000701801,2,7,18,1,5,0,2,1
2021,      000707201,1,7,72,1,1,0,2,1
2021,      000708601,5,7,86,1,0,6,2,1
2021,      000805801,3,8,58,1,0,2,2,1
2021,      000816201,5,8,162,1,0,6,2,1
2021,      000901101,3,9,11,1,2,0,1,1
2021,      000901101,4,9,11,1,0,6,2,2
2021,      000903001,4,9,30,1,4,0,2,1
2021,      000907701,4,9,77,1,0,1,1,1
2021,      000907701,5,9,77,1,0,1,2,2
2021,      000908601,4,9,86,1,3,0,2,1
2021,      000908701,3,9,87,1,0,2,2,1
2021,      000911601,1,9,116,1,0,1,1,1
2021,      000911601,2,9,116,1,0,1,2,2
2021,      001003401,3,10,34,1,1,3,2,1
2021,      001004301,7,10,43,1,3,0,2,1
2021,      001100301,4,11,3,1,0,6,2,1
2021,      001102301,6,11,23,1,1,0,2,1
2021,      001105801,5,11,58,1,4,0,1,1
2021,      001105801,6,11,58,1,2,6,2,2
2021,      001206101,4,12,61,1,1,0,2,1
2021,      001300801,2,13,8,1,3,2,2,1
2021,      001307401,6,13,74,1,1,6,2,1
2021,      001311201,5,13,112,1,2,5,2,1
2021,      001311601,3,13,116,1,2,0,2,1
2021,      001510001,5,15,100,1,1,5,2,1
2021,      001601401,4,16,14,1,4,4,2,1
2021,      001602401,3,16,24,1,0,6,2,1
2021,      001602901,3,16,29,1,1,4,2,1
2021,      001907001,2,19,70,1,0,6,2,1
2021,      001909001,3,19,90,1,2,1,2,1
2021,      001910301,3,19,103,1,4,0,2,1
2021,      002002801,3,20,28,1,0,6,2,1
2021,      002008201,3,20,82,1,0,2,2,1
2021,      002100701,3,21,7,1,1,9,1,1
2021,      002100701,6,21,7,1,1,0,2,2
2021,      002103301,2,21,33,1,0,9,2,1
2021,      002103901,6,21,39,1,4,0,2,1
2021,      002109201,6,21,92,1,2,0,2,1
2021,      002109801,4,21,98,1,0,7,2,1
2021,      002111201,4,21,112,1,1,0,2,1
2021,      002203401,5,22,34,1,5,2,2,1
2021,      002204501,5,22,45,1,3,2,2,1
2021,      002208801,8,22,88,1,0,1,2,1
2021,      002211601,4,22,116,1,1,2,2,1
2021,      002213001,3,22,130,1,0,3,2,1
2021,      002400301,3,24,3,1,1,1,2,1
2021,      002405801,5,24,58,1,0,6,2,1
2021,      002409801,3,24,98,1,3,6,2,1
2021,      002412601,2,24,126,1,4,2,2,1
2021,      002412801,4,24,128,1,1,6,2,1
2021,      002413701,3,24,137,1,1,0,2,1
2021,      002501501,5,25,15,1,1,7,2,1
2021,      002512701,4,25,127,1,1,3,2,1
2021,      002602201,6,26,22,1,4,6,1,1
2021,      002602201,7,26,22,1,2,6,2,2
2021,      002602401,3,26,24,1,0,6,2,1
2021,      002609101,4,26,91,1,4,0,1,1
2021,      002609101,5,26,91,1,0,3,2,2
